,district,latitude,longitude
1707,Kabupaten Maluku Tenggara,-5.7512455,132.7271587
1708,Kabupaten Maluku Tengah,-3.0166501,129.4864411
1709,Kabupaten Buru Selatan,-3.3927754,126.7819505
1710,Kabupaten Kepulauan Aru,-6.1946502,134.5501935
1711,Kabupaten Seram Bagian Barat,-3.1271575,128.4008357
1712,Kabupaten Seram Bagian Timur,-3.4150761,130.390488
1713,Kota Ambon,-3.65607,128.166419
1714,KotaTual,-5.640851,132.7475093
1715,Kabupaten Halmahera Barat,1.3121235,128.4849923
1716,Kabupaten Halmahera Tengah,1.3121235,128.4849923
1717,Kabupaten Kepulauan Sula,-1.8666667,125.3666667
1718,Kabupaten Halmahera Selatan,1.3121235,128.4849923
1719,Kabupaten Halmahera Utara,1.3121235,128.4849923
1720,Kabupaten Halmahera Timur,1.3121235,128.4849923
1721,Kota Ternate,0.7833333,127.3666667
1722,Kota Tidore Kepulauan,0.6833333,127.4
1723,Kabupaten Fakfak,-2.885237,132.2658282
1724,Kabupaten Kaimana,-3.660925,133.774506
1725,Kabupaten Teluk Wondama,-2.8551699,134.3236557
1726,Kabupaten Teluk Bintuni,-1.9056848,133.329466
1727,Kabupaten Manokwari,-0.8614531,134.0620421
1728,Kabupaten Sorong Selatan,-0.8666667,131.25
1729,Kota Sorong,-0.8666667,131.25
1730,Kabupaten Raja Ampat,-1.0915151,130.8778586
1731,Kabupaten Sorong,-0.8666667,131.25
1732,Kabupaten Merauke,-8.4960406,140.3945527
1733,Kabupaten Jayawijaya,-4.0004481,138.7995122
1734,Kabupaten Jayapura,-2.533,140.717
1735,Kabupaten Nabire,-3.5095462,135.7520985
1736,Kabupaten Kepulauan Yapen,-1.7469359,136.1709012
1737,Kabupaten Biak Numfor,-1.0381022,135.9800848
1738,Kabupaten Paniai,-3.7876441,136.3624686
1739,Kabupaten Puncak Jaya,-4.0836111,137.1847222
1740,Kabupaten Mimika,-4.4553223,137.1362125
1741,Kabupaten Boven Digoel,-5.7400018,140.3481835
1742,Kabupaten Mappi,-7.102232,139.396393
1743,Kabupaten Asmat,-5.0573958,138.3988186
1744,Kabupaten Yahukimo,-4.4939717,139.5279996
1745,Kabupaten Pegunungan Bintang,-4.5589872,140.5135589
1746,Kabupaten Tolikara,-3.481132,138.4787258
1747,Kabupaten Sarmi,-1.868727,138.743607
1748,Kabupaten Keerom,-3.3449536,140.7624493
1749,Kabupaten Waropen,-2.8435717,136.670534
1750,Kabupaten Supiori,-0.7295099,135.6385125
1751,Kabupaten Mamberamo Raya,-2.5331255,137.7637565
1752,Kota Jayapura,-2.533,140.717
